#{"t_start": 1766914283.692569, "env_id": "None"}
r,l,t
-20.0,1,0.553811
-20.0,1,0.553845
-20.0,1,0.553875
-20.0,1,0.554352
-20.0,1,0.55444
-20.0,1,0.554507
-20.0,1,0.554548
-20.0,1,0.555068
7.056459,3,0.555187
-20.0,1,0.555695
-20.0,1,0.555755
-20.0,1,0.555791
-20.0,1,0.555847
-20.0,1,0.556328
-20.0,1,0.556366
-20.0,1,0.556397
-20.0,1,0.556449
-20.0,1,0.556902
-20.0,1,0.556939
-20.0,1,0.556969
6.085613,3,0.557489
-20.0,1,0.557524
-20.0,1,0.557553
-20.0,1,0.557999
-20.0,1,0.558062
-20.0,1,0.558095
-19.8,3,0.558591
-20.0,1,0.558625
6.991498,3,0.5592
-20.0,1,0.559238
-20.0,1,0.559271
-20.0,1,0.559697
-20.0,1,0.559757
-20.0,1,0.559789
-20.0,1,0.559819
-20.0,1,0.560279
-20.0,1,0.560342
-20.0,1,0.560375
-20.0,1,0.560406
6.911749,3,0.560966
-20.0,1,0.561036
-20.0,1,0.561521
6.813092,3,0.561615
-20.0,1,0.562086
-20.0,1,0.562155
-20.0,1,0.562189
-20.0,1,0.562219
-20.0,1,0.562718
-20.0,1,0.56278
-20.0,1,0.562812
-19.8,3,0.563329
-20.0,1,0.563371
-19.9,2,0.563879
-20.0,1,0.563919
-20.0,1,0.563953
-20.0,1,0.563981
-20.0,1,0.564452
-20.0,1,0.564491
5.945551,3,0.564998
-20.0,1,0.565037
-20.0,1,0.56509
-20.0,1,0.565123
-20.0,1,0.565586
-20.0,1,0.565624
-20.0,1,0.565678
-20.0,1,0.565709
7.174309,3,0.566191
-20.0,1,0.566226
-20.0,1,0.56669
6.898373,3,0.566844
-20.0,1,0.567264
-20.0,1,0.567298
5.957693,3,0.567777
-20.0,1,0.567812
-20.0,1,0.567841
6.924668,3,0.568311
-20.0,1,0.568373
6.865832,3,0.568853
-20.0,1,0.568888
-20.0,1,0.568918
-20.0,1,0.569357
-20.0,1,0.56939
-20.0,1,0.569426
-20.0,1,0.569453
-20.0,1,0.569901
-19.8,3,0.569979
-20.0,1,0.57044
-20.0,1,0.570483
-20.0,1,0.570538
6.882734,3,0.571108
-20.0,1,0.571145
-20.0,1,0.571177
-20.0,1,0.571672
-20.0,1,0.571716
-20.0,1,0.571771
-20.0,1,0.571801
-19.8,3,0.572347
-20.0,1,0.572382
-20.0,1,0.572955
-20.0,1,0.572999
-20.0,1,0.573059
-20.0,1,0.573092
-20.0,1,0.574049
-20.0,1,0.574135
-19.8,3,0.574746
-20.0,1,0.574786
-20.0,1,0.574816
6.162116,3,0.575332
-20.0,1,0.575385
-20.0,1,0.575418
-20.0,1,0.575863
-20.0,1,0.575895
-20.0,1,0.575944
-20.0,1,0.575975
5.917441,3,0.576474
-20.0,1,0.57651
-20.0,1,0.577001
-20.0,1,0.577039
-20.0,1,0.577068
-20.0,1,0.577098
-20.0,1,0.577554
-20.0,1,0.577591
-20.0,1,0.577619
-20.0,1,0.577645
-20.0,1,0.578093
-20.0,1,0.578129
-20.0,1,0.578159
-20.0,1,0.578188
-20.0,1,0.578641
7.027446,3,0.57873
-20.0,1,0.579162
7.001617,3,0.579243
-20.0,1,0.579678
-20.0,1,0.579714
-20.0,1,0.579745
-20.0,1,0.579773
-19.9,2,0.580326
-20.0,1,0.580358
-20.0,1,0.580385
-20.0,1,0.580819
-20.0,1,0.580878
-20.0,1,0.580908
-19.8,3,0.581377
-20.0,1,0.581407
-20.0,1,0.581455
6.868584,3,0.581941
-20.0,1,0.581973
-20.0,1,0.582399
8.646061,3,0.582521
-20.0,1,0.582958
-20.0,1,0.582994
-20.0,1,0.583023
-20.0,1,0.583073
-20.0,1,0.583504
-20.0,1,0.58354
-20.0,1,0.583568
-20.0,1,0.583614
6.861472,3,0.584104
-20.0,1,0.584137
7.142209,3,0.584717
-20.0,1,0.584776
-20.0,1,0.585237
-20.0,1,0.585269
-20.0,1,0.585297
-20.0,1,0.585344
-19.9,2,0.585814
-20.0,1,0.585847
-19.9,2,0.586332
7.076684,3,0.586493
-20.0,1,0.586927
-20.0,1,0.586969
-20.0,1,0.587004
-20.0,1,0.587057
-20.0,1,0.587523
-20.0,1,0.587561
-20.0,1,0.58759
-20.0,1,0.587641
-20.0,1,0.588084
7.184031,3,0.588188
-20.0,1,0.58873
-20.0,1,0.588797
6.904984,3,0.589313
-20.0,1,0.589364
6.045254,3,0.589834
-20.0,1,0.589898
-20.0,1,0.589931
-20.0,1,0.589961
-20.0,1,0.590385
-20.0,1,0.590441
-19.9,2,0.590496
-20.0,1,0.590928
-20.0,1,0.590961
7.036874,3,0.591461
-20.0,1,0.591503
6.919165,3,0.591991
-20.0,1,0.592026
-20.0,1,0.592074
-20.0,1,0.592106
-20.0,1,0.592545
-20.0,1,0.592581
-19.8,3,0.59307
-20.0,1,0.593107
-20.0,1,0.593138
-20.0,1,0.593167
-20.0,1,0.593629
-20.0,1,0.593668
-20.0,1,0.593699
-20.0,1,0.593729
-20.0,1,0.59418
-20.0,1,0.594213
-19.9,2,0.594262
-20.0,1,0.594698
-20.0,1,0.594756
-20.0,1,0.594787
-19.9,2,0.59524
-20.0,1,0.595276
-20.0,1,0.595327
-20.0,1,0.595357
-20.0,1,0.595778
-20.0,1,0.595815
-20.0,1,0.595866
-19.8,3,0.596402
-19.9,2,0.596449
-20.0,1,0.596867
-20.0,1,0.596919
-19.9,2,0.597029
-20.0,1,0.597476
-20.0,1,0.59751
-20.0,1,0.597556
-20.0,1,0.597583
-19.9,2,0.598039
-20.0,1,0.598073
-19.8,3,0.598574
-20.0,1,0.598608
-20.0,1,0.598637
-19.9,2,0.599105
-20.0,1,0.599158
-20.0,1,0.599187
-20.0,1,0.599621
-19.9,2,0.599678
6.264481,3,0.600193
-20.0,1,0.600227
-20.0,1,0.600257
-19.9,2,0.600764
-20.0,1,0.600815
-20.0,1,0.600843
-20.0,1,0.60126
-20.0,1,0.601291
-19.8,3,0.601774
-20.0,1,0.601806
-20.0,1,0.601833
-20.0,1,0.601859
-20.0,1,0.60231
-20.0,1,0.60239
-20.0,1,0.60242
-20.0,1,0.602455
6.915856,3,0.602948
-20.0,1,0.602978
-20.0,1,0.603395
-20.0,1,0.603428
-20.0,1,0.603477
-20.0,1,0.603507
-20.0,1,0.603989
-20.0,1,0.604028
-20.0,1,0.604081
7.473218,3,0.604654
6.910907,3,0.605324
-20.0,1,0.605374
-20.0,1,0.605433
-20.0,1,0.605465
-20.0,1,0.605963
-20.0,1,0.605999
-20.0,1,0.606047
-20.0,1,0.606078
-20.0,1,0.606542
-20.0,1,0.606579
-20.0,1,0.606628
-20.0,1,0.606656
-20.0,1,0.607115
-20.0,1,0.607152
-20.0,1,0.607204
-20.0,1,0.607236
-20.0,1,0.607671
-19.8,3,0.607751
-20.0,1,0.608205
-20.0,1,0.608241
-20.0,1,0.608272
-20.0,1,0.608301
-19.8,3,0.608808
-19.9,2,0.609281
-20.0,1,0.609314
-20.0,1,0.60934
-20.0,1,0.609389
6.880184,3,0.609869
-20.0,1,0.609899
-20.0,1,0.61035
-20.0,1,0.610405
7.020856,3,0.610865
-20.0,1,0.610899
-20.0,1,0.610927
-20.0,1,0.610979
-20.0,1,0.611438
-20.0,1,0.611482
-20.0,1,0.611514
-20.0,1,0.611572
-20.0,1,0.612016
-20.0,1,0.612048
-20.0,1,0.612074
-20.0,1,0.612119
-20.0,1,0.612541
6.640829,3,0.612682
-20.0,1,0.613102
-20.0,1,0.61316
0.555735,3,0.613694
-20.0,1,0.613735
-20.0,1,0.613765
6.924309,3,0.614266
-20.0,1,0.614297
-20.0,1,0.614326
-20.0,1,0.614756
-20.0,1,0.614809
-20.0,1,0.614837
-20.0,1,0.614864
6.857181,3,0.615421
-20.0,1,0.615477
-20.0,1,0.615914
6.8983,3,0.616065
-20.0,1,0.616505
-20.0,1,0.616564
-20.0,1,0.616595
-20.0,1,0.616622
-20.0,1,0.617041
-20.0,1,0.6171
-20.0,1,0.61713
-20.0,1,0.617158
-20.0,1,0.6176
-20.0,1,0.617657
-20.0,1,0.617688
-20.0,1,0.617723
